Start time,End time,High frequency (Hz),Low frequency (Hz),GOES,Flare,"Notes (corona loop brightening, etc.)",Other notes
2023-5-18/07:08,2023-5-18/09:03,11000000,70000,T,F,,
2023-5-18/15:59,2023-5-18/16:56,20000000,100000,T,T,Spot,
2023-5-18/20:51,2023-5-18/21:26,20000000,100000,F,,,
2023-5-19/19:11,2023-5-19/19:46,7000000,100000,T,T,Spot,
2023-5-20/04:42,2023-5-20/05:12,10000000,200000,T,T,Spot,
2023-5-22/02:20,2023-5-22/03:07,20000000,90000,T,T,Loop,
2023-5-22/13:38,2023-5-22/14:33,20000000,90000,T,T,Spot,
2023-5-22/14:22,2023-5-22/14:48,20000000,100000,T,T,Loop,
2023-5-23/10:42,2023-5-23/11:05,13000000,200000,T,T,Spot,
2023-5-25/22:06,2023-5-25/22:18,20000000,300000,F,,,
2023-5-25/23:46,2023-5-25/23:54,20000000,300000,F,,,
2023-5-27/00:39,2023-5-27/00:52,20000000,200000,F,,,
2023-5-27/02:32,2023-5-27/02:40,10000000,400000,T,F,,
2023-5-28/16:45,2023-5-28/16:54,20000000,300000,T,F,,
2023-5-28/17:37,2023-5-28/17:52,9000000,400000,T,T,Loop,
2023-5-28/18:16,2023-5-28/18:32,13000000,400000,T,F,,
2023-6-5/14:03,2023-6-5/15:32,20000000,50000,T,T,Spot,
2023-6-5/18:11,2023-6-5/19:50,20000000,50000,F,,,
2023-6-11/23:56,2023-6-12/01:47,5000000,80000,F,,,
2023-6-12/05:55,2023-6-12/07:00,20000000,100000,F,,,
2023-6-12/06:55,2023-6-12/07:45,20000000,100000,T,T,Loop & Spot,
2023-6-12/16:06,2023-6-12/16:46,20000000,100000,F,,,
2023-6-13/11:16,2023-6-13/11:54,20000000,100000,F,,,
2023-6-13/15:08,2023-6-13/16:43,20000000,80000,T,F,,
2023-6-13/16:23,2023-6-13/17:06,15000000,80000,T,T,Spot,
2023-6-13/18:45,2023-6-13/20:18,12000000,80000,T,F,,
2023-6-14/11:51,2023-6-14/12:45,20000000,100000,T,T,Loop,
2023-6-14/19:23,2023-6-14/20:22,20000000,100000,T,T,Spot,
2023-6-15/20:18,2023-6-15/21:04,20000000,100000,F,,,
2023-6-16/04:48,2023-6-16/07:02,20000000,100000,F,,,
2023-6-16/13:33,2023-6-16/13:59,20000000,100000,F,,,
2023-6-16/19:47,2023-6-16/20:13,17000000,200000,T,T,Loop,
2023-6-18/09:43,2023-6-18/10:20,20000000,100000,T,T,Loop,
2023-6-19/00:55,2023-6-19/01:20,10000000,200000,T,T,Loop,
2023-6-23/23:54,2023-6-24/00:15,10000000,400000,F,,,
2023-6-24/09:10,2023-6-24/09:33,17000000,300000,T,T,Spot,
2023-6-24/12:07,2023-6-24/12:48,20000000,200000,T,T,Spot,
2023-6-25/21:30,2023-6-25/22:07,20000000,100000,F,,,
2023-6-26/11:39,2023-6-26/12:19,20000000,100000,T,T,Spot,
2023-6-27/11:23,2023-6-27/11:57,14000000,200000,T,T,Loop,
2023-6-27/17:39,2023-6-27/18:17,20000000,80000,T,T,Spot,
2023-6-27/20:40,2023-6-27/21:52,20000000,80000,T,F,,
2023-6-28/16:38,2023-6-28/17:11,20000000,100000,T,T,Spot,
2023-6-29/14:09,2023-6-29/14:42,20000000,100000,T,T,Spot,
2023-7-1/04:34,2023-7-1/04:47,12000000,400000,T,T,Spot,
2023-7-1/11:28,2023-7-1/11:41,16000000,300000,T,T,Spot,
2023-7-1/14:47,2023-7-1/15:05,12000000,200000,F,,,
2023-7-2/12:29,2023-7-2/12:48,15000000,300000,T,T,Loop,
2023-7-3/12:25,2023-7-3/12:53,20000000,200000,T,T,Loop,
2023-7-3/20:59,2023-7-3/21:17,20000000,200000,T,T,Spot,
2023-7-4/03:53,2023-7-4/04:09,20000000,200000,T,T,Loop,
2023-7-4/06:33,2023-7-4/07:04,20000000,100000,T,T,Spot,
2023-7-5/12:20,2023-7-5/12:50,20000000,100000,T,T,Spot,
2023-7-6/19:29,2023-7-6/19:47,20000000,300000,T,T,Loop,
2023-7-8/20:02,2023-7-8/21:04,20000000,100000,T,F,,
2023-7-9/03:20,2023-7-9/03:46,20000000,200000,T,T,Spot,
2023-7-9/08:30,2023-7-9/08:47,20000000,200000,T,T,Spot,
2023-7-10/00:24,2023-7-10/01:23,20000000,100000,T,T,Spot,
2023-7-10/03:30,2023-7-10/05:07,20000000,70000,T,T,Spot,
2023-7-10/17:29,2023-7-10/18:15,20000000,80000,F,,,
2023-7-11/11:15,2023-7-11/12:25,20000000,60000,T,F,,
2023-7-12/11:31,2023-7-12/15:00,20000000,100000,F,,,
2023-7-14/09:21,2023-7-14/09:51,20000000,100000,T,T,Spot,
2023-7-14/13:57,2023-7-14/14:51,13000000,50000,T,T,Spot,
2023-7-14/18:30,2023-7-14/21:30,20000000,40000,T,T,Spot,
2023-7-15/00:06,2023-7-15/01:35,20000000,50000,T,T,Spot,
2023-7-15/07:26,2023-7-15/07:32,20000000,40000,T,T,Spot,
2023-7-15/08:16,2023-7-15/09:18,13000000,100000,T,T,Loop,
2023-7-15/10:06,2023-7-15/11:46,20000000,50000,T,T,Loop,
2023-7-15/19:50,2023-7-15/21:45,20000000,30000,T,T,Spot,
2023-7-16/00:57,2023-7-16/02:21,20000000,30000,T,T,Spot,
2023-7-16/04:52,2023-7-16/05:48,20000000,30000,T,F,,
2023-7-16/10:24,2023-7-16/11:30,20000000,30000,T,T,Spot,
2023-7-16/15:04,2023-7-16/16:20,20000000,100000,T,T,Spot,
2023-7-16/23:54,2023-7-17/01:12,20000000,120000,T,F,,
2023-7-17/00:47,2023-7-17/00:50,20000000,90000,F,,,
2023-7-17/00:57,2023-7-17/01:00,20000000,40000,F,,,
2023-7-17/01:01,2023-7-17/01:05,5000000,30000,F,,,
2023-7-17/02:16,2023-7-17/02:23,8000000,100000,T,T,Loop,
2023-7-17/02:45,2023-7-17/02:48,20000000,2000000,T,T,Spot,
