Start time,End time,High frequency (Hz),Low frequency (Hz),GOES,Flare,"Notes (corona loop brightening, etc.)",Other notes
2023-3-4/06:39,2023-3-4/09:10,20000000,40000,F,,,
2023-3-4/11:43,2023-3-4/13:41,8000000,60000,F,,,
2023-3-4/16:22,2023-3-4/17:28,20000000,70000,F,,,
2023-3-4/20:23,2023-3-4/20:59,20000000,90000,T,F,,
2023-3-6/02:32,2023-3-6/03:46,11000000,100000,T,T,Spot,
2023-3-6/08:35,2023-3-6/09:23,8000000,300000,F,,,
2023-3-6/19:00,2023-3-6/19:18,4000000,300000,F,,,
2023-3-7/05:03,2023-3-7/05:33,13000000,80000,F,,,
2023-3-9/12:55,2023-3-9/14:30,20000000,1000000,T,F,,
2023-6-21/03:26,2023-6-21/03:56,20000000,700000,F,,,
2023-6-21/03:45,2023-6-21/03:58,20000000,500000,F,,,
